Age,Attrition,Department,Education,EmployeeId,JobRole,JobSatisfaction,MonthlyIncome,OverTime,YearsAtCompany
54,No,Human Resources,Human Resources,148,Manager,4,17328,Yes,5
24,No,Research & Development,Life Sciences,150,Laboratory Technician,3,2774,No,5
34,No,Research & Development,Life Sciences,151,Research Scientist,2,4505,No,1
37,No,Sales,Life Sciences,152,Sales Executive,4,7428,No,5
34,No,Research & Development,Medical,153,Manager,1,11631,No,11
36,No,Sales,Technical Degree,154,Sales Executive,4,9738,No,9
36,No,Research & Development,Life Sciences,155,Laboratory Technician,4,2835,No,1
43,No,Sales,Life Sciences,158,Manager,4,16959,Yes,25
30,No,Research & Development,Life Sciences,159,Research Scientist,3,2613,No,10
33,No,Sales,Marketing,160,Sales Executive,2,6146,No,7
56,Yes,Research & Development,Life Sciences,161,Research Scientist,2,4963,Yes,5
51,No,Research & Development,Life Sciences,162,Research Director,3,19537,No,20
31,Yes,Sales,Life Sciences,163,Sales Executive,3,6172,Yes,7
26,No,Research & Development,Other,164,Research Scientist,2,2368,No,5
58,Yes,Research & Development,Medical,165,Healthcare Representative,4,10312,No,40
19,Yes,Sales,Marketing,167,Sales Representative,3,1675,Yes,0
22,No,Research & Development,Technical Degree,169,Laboratory Technician,4,2523,No,2
49,No,Research & Development,Medical,170,Manufacturing Director,1,6567,No,15
43,No,Research & Development,Medical,171,Research Scientist,3,4739,No,3
50,No,Sales,Marketing,174,Sales Executive,4,9208,No,2
31,Yes,Sales,Life Sciences,175,Sales Executive,3,4559,Yes,2
41,No,Sales,Life Sciences,176,Sales Executive,3,8189,Yes,9
26,No,Human Resources,Life Sciences,177,Human Resources,3,2942,No,8
36,No,Research & Development,Medical,178,Manufacturing Director,2,4941,No,3
51,Yes,Research & Development,Life Sciences,179,Manufacturing Director,4,10650,No,4
39,No,Sales,Life Sciences,182,Sales Executive,3,5902,No,15
25,No,Sales,Life Sciences,183,Sales Executive,3,8639,No,2
30,No,Human Resources,Human Resources,184,Human Resources,4,6347,Yes,11
32,Yes,Research & Development,Medical,190,Laboratory Technician,1,4200,No,5
45,No,Research & Development,Medical,192,Research Scientist,4,3452,No,6
38,No,Research & Development,Technical Degree,193,Research Scientist,3,4317,Yes,3
30,No,Research & Development,Life Sciences,194,Research Scientist,3,2632,No,5
32,No,Sales,Medical,195,Sales Executive,4,4668,No,8
30,No,Research & Development,Technical Degree,197,Research Scientist,1,3204,No,3
30,No,Research & Development,Medical,198,Laboratory Technician,4,2720,No,5
41,No,Research & Development,Life Sciences,199,Manager,1,17181,No,7
41,No,Research & Development,Life Sciences,200,Laboratory Technician,1,2238,No,5
19,No,Research & Development,Medical,201,Laboratory Technician,2,1483,No,1
40,No,Research & Development,Medical,202,Research Scientist,2,5605,No,20
35,No,Sales,Marketing,204,Sales Executive,2,7295,No,10
53,No,Sales,Marketing,205,Sales Representative,3,2306,Yes,7
45,No,Research & Development,Life Sciences,206,Laboratory Technician,2,2348,No,17
32,No,Sales,Marketing,207,Sales Executive,4,8998,No,9
29,No,Research & Development,Technical Degree,208,Manufacturing Director,3,4319,No,10
51,No,Research & Development,Medical,211,Manufacturing Director,3,6132,No,1
58,No,Research & Development,Medical,214,Research Scientist,2,3346,Yes,1
40,No,Sales,Marketing,215,Sales Executive,4,10855,No,12
34,No,Sales,Marketing,216,Sales Representative,3,2231,No,4
22,No,Research & Development,Medical,217,Research Scientist,4,2323,No,2
27,No,Research & Development,Medical,218,Research Scientist,2,2024,No,2
28,No,Research & Development,Medical,221,Research Scientist,4,2713,No,5
57,No,Research & Development,Life Sciences,223,Healthcare Representative,4,9439,Yes,5
27,No,Research & Development,Medical,224,Research Scientist,3,2566,Yes,1
50,No,Research & Development,Life Sciences,226,Manager,2,19926,No,5
41,No,Research & Development,Life Sciences,227,Research Scientist,3,2451,No,9
30,No,Sales,Life Sciences,228,Sales Executive,4,9419,No,10
38,No,Sales,Life Sciences,230,Sales Executive,4,8686,No,8
32,No,Research & Development,Life Sciences,231,Research Scientist,3,3038,No,5
27,No,Research & Development,Technical Degree,233,Research Scientist,2,3058,Yes,5
19,Yes,Sales,Technical Degree,235,Sales Representative,1,2325,No,0
36,No,Research & Development,Medical,238,Laboratory Technician,2,2088,No,8
30,No,Research & Development,Medical,239,Laboratory Technician,1,3072,No,12
45,No,Sales,Life Sciences,240,Sales Executive,1,5006,Yes,5
56,No,Research & Development,Life Sciences,241,Research Scientist,1,4257,Yes,2
33,No,Research & Development,Life Sciences,242,Research Scientist,4,2500,No,3
19,Yes,Research & Development,Life Sciences,243,Laboratory Technician,4,1102,No,1
46,No,Sales,Marketing,244,Sales Executive,1,10453,No,24
38,No,Research & Development,Life Sciences,245,Laboratory Technician,4,2288,No,2
31,No,Research & Development,Medical,246,Research Scientist,4,3929,Yes,4
34,No,Research & Development,Medical,247,Research Scientist,2,2311,No,3
41,Yes,Sales,Marketing,248,Sales Representative,2,3140,Yes,4
50,No,Research & Development,Medical,249,Laboratory Technician,3,3690,No,3
53,No,Research & Development,Medical,250,Manufacturing Director,1,4450,No,4
33,No,Research & Development,Medical,252,Research Scientist,2,2756,No,8
40,No,Research & Development,Medical,253,Manager,3,19033,No,20
55,No,Research & Development,Medical,254,Research Director,2,18722,No,24
34,No,Research & Development,Life Sciences,256,Manufacturing Director,3,9547,No,10
51,No,Research & Development,Medical,258,Healthcare Representative,2,13734,No,7
52,No,Research & Development,Life Sciences,259,Manager,3,19999,No,33
27,No,Research & Development,Medical,260,Research Scientist,2,2279,No,7
35,Yes,Research & Development,Life Sciences,261,Manufacturing Director,3,5916,Yes,1
43,No,Research & Development,Medical,262,Research Scientist,4,2089,No,5
45,No,Research & Development,Medical,264,Manager,4,16792,No,20
37,No,Research & Development,Life Sciences,267,Research Scientist,1,3564,Yes,8
35,No,Research & Development,Medical,269,Laboratory Technician,2,4425,No,6
42,No,Research & Development,Medical,270,Manufacturing Director,3,5265,No,5
38,No,Research & Development,Life Sciences,271,Manufacturing Director,3,6553,No,1
38,No,Research & Development,Technical Degree,273,Manufacturing Director,4,6261,No,7
27,No,Research & Development,Technical Degree,274,Manufacturing Director,1,4298,No,2
49,No,Research & Development,Life Sciences,275,Manufacturing Director,4,6804,Yes,7
34,No,Research & Development,Medical,277,Research Scientist,3,3815,Yes,5
40,No,Research & Development,Medical,281,Laboratory Technician,4,2741,Yes,7
38,Yes,Research & Development,Medical,282,Healthcare Representative,1,6673,Yes,1
29,Yes,Sales,Marketing,283,Sales Executive,4,7639,No,10
22,No,Research & Development,Life Sciences,284,Research Scientist,2,2328,Yes,4
36,No,Research & Development,Medical,286,Laboratory Technician,4,2153,No,8
40,No,Research & Development,Life Sciences,287,Healthcare Representative,4,4876,No,3
46,No,Research & Development,Medical,288,Healthcare Representative,1,9396,No,4
32,Yes,Sales,Medical,291,Sales Executive,4,10400,No,14
30,No,Research & Development,Life Sciences,292,Manufacturing Director,3,8474,No,11
27,No,Sales,Life Sciences,293,Sales Executive,3,9981,No,7
51,No,Research & Development,Life Sciences,296,Research Director,2,12490,No,10
30,Yes,Research & Development,Technical Degree,297,Research Scientist,1,2657,Yes,5
41,No,Sales,Life Sciences,298,Manager,4,13591,Yes,1
30,Yes,Sales,Marketing,299,Sales Executive,1,6696,No,6
29,Yes,Research & Development,Technical Degree,300,Research Scientist,3,2058,No,6
45,No,Sales,Medical,302,Sales Executive,4,8865,No,19
54,No,Sales,Marketing,303,Sales Executive,1,5940,No,6
36,No,Research & Development,Life Sciences,304,Laboratory Technician,2,5914,No,13
33,No,Research & Development,Medical,305,Research Scientist,2,2622,No,3
37,No,Research & Development,Other,306,Research Director,4,12185,Yes,10
38,No,Sales,Life Sciences,307,Sales Executive,3,10609,No,16
31,No,Research & Development,Medical,308,Manufacturing Director,3,4345,No,5
59,No,Research & Development,Life Sciences,309,Research Scientist,4,2177,No,1
37,No,Sales,Marketing,311,Sales Representative,4,2793,No,9
29,No,Sales,Medical,312,Sales Executive,4,7918,No,11
35,No,Sales,Marketing,314,Sales Executive,3,8789,No,10
29,Yes,Research & Development,Medical,315,Research Scientist,4,2389,Yes,4
52,No,Research & Development,Life Sciences,316,Laboratory Technician,4,3212,No,2
42,No,Research & Development,Technical Degree,319,Manager,4,19232,No,22
59,No,Human Resources,Medical,321,Human Resources,3,2267,No,2
50,No,Sales,Medical,323,Manager,4,19517,No,7
33,Yes,Research & Development,Medical,325,Laboratory Technician,4,2436,Yes,5
43,No,Sales,Marketing,327,Manager,4,16064,Yes,17
33,Yes,Research & Development,Life Sciences,328,Laboratory Technician,1,2707,No,9
52,No,Sales,Life Sciences,329,Manager,3,19068,Yes,33
32,No,Sales,Life Sciences,330,Sales Representative,2,3931,No,4
32,Yes,Research & Development,Life Sciences,331,Laboratory Technician,3,3730,Yes,3
39,No,Research & Development,Medical,332,Laboratory Technician,3,2232,No,3
32,No,Sales,Marketing,333,Sales Executive,4,4465,No,3
41,No,Research & Development,Life Sciences,334,Research Scientist,1,3072,No,1
40,No,Research & Development,Technical Degree,335,Research Scientist,4,3319,No,9
45,No,Research & Development,Other,336,Manager,4,19202,No,24
31,No,Research & Development,Medical,337,Research Director,3,13675,No,2
33,No,Research & Development,Life Sciences,338,Research Scientist,4,2911,No,2
34,No,Research & Development,Life Sciences,339,Manufacturing Director,1,5957,No,11
37,No,Research & Development,Medical,340,Research Scientist,1,3920,No,3
45,No,Research & Development,Life Sciences,341,Manufacturing Director,3,6434,No,3
37,Yes,Research & Development,Medical,342,Manufacturing Director,3,10048,No,1
39,No,Research & Development,Technical Degree,343,Healthcare Representative,3,10938,No,19
29,No,Research & Development,Life Sciences,346,Research Scientist,4,2340,No,6
42,No,Research & Development,Life Sciences,347,Research Scientist,1,6545,Yes,3
29,No,Sales,Marketing,349,Sales Executive,4,6931,No,3
25,No,Research & Development,Life Sciences,350,Manufacturing Director,3,4898,No,4
42,No,Research & Development,Medical,351,Laboratory Technician,1,2593,Yes,9
40,No,Research & Development,Medical,352,Research Director,3,19436,No,21
51,No,Research & Development,Life Sciences,353,Research Scientist,4,2723,No,1
31,Yes,Research & Development,Medical,355,Laboratory Technician,2,3479,No,5
32,No,Research & Development,Life Sciences,359,Laboratory Technician,2,2794,No,5
38,No,Sales,Life Sciences,361,Sales Executive,4,5249,No,8
32,No,Research & Development,Technical Degree,362,Laboratory Technician,1,2176,No,6
46,No,Sales,Technical Degree,363,Manager,2,16872,Yes,7
28,Yes,Research & Development,Life Sciences,364,Laboratory Technician,3,3485,No,0
29,No,Sales,Medical,366,Sales Executive,2,6644,No,0
31,No,Research & Development,Medical,367,Healthcare Representative,4,5582,No,9
25,No,Research & Development,Life Sciences,369,Healthcare Representative,1,4000,No,6
45,No,Research & Development,Medical,372,Healthcare Representative,4,13496,Yes,20
36,No,Research & Development,Life Sciences,373,Laboratory Technician,4,3210,No,15
55,No,Research & Development,Medical,374,Manager,1,19045,Yes,36
47,Yes,Research & Development,Life Sciences,376,Manager,2,11849,Yes,10
28,No,Research & Development,Medical,377,Research Scientist,4,2070,No,5
37,No,Sales,Medical,378,Sales Executive,4,6502,No,5
21,No,Research & Development,Medical,379,Research Scientist,3,3230,No,3
37,No,Research & Development,Medical,380,Research Director,4,13603,Yes,5
35,No,Research & Development,Life Sciences,381,Manager,2,11996,No,7
38,No,Sales,Medical,382,Sales Executive,1,5605,Yes,8
26,No,Research & Development,Life Sciences,384,Manufacturing Director,2,6397,No,6
50,No,Research & Development,Life Sciences,385,Research Director,2,19144,No,10
53,No,Research & Development,Medical,386,Research Director,3,17584,Yes,5
42,No,Sales,Life Sciences,387,Sales Executive,3,4907,No,20
29,No,Sales,Life Sciences,388,Sales Executive,4,4554,No,10
55,No,Research & Development,Technical Degree,389,Laboratory Technician,4,5415,Yes,10
26,No,Research & Development,Medical,390,Healthcare Representative,1,4741,Yes,5
37,No,Research & Development,Life Sciences,391,Research Scientist,4,2115,No,17
44,Yes,Research & Development,Life Sciences,392,Laboratory Technician,3,3161,Yes,1
38,No,Research & Development,Life Sciences,393,Healthcare Representative,4,5745,No,2
26,Yes,Research & Development,Medical,394,Laboratory Technician,2,2373,Yes,3
28,No,Research & Development,Life Sciences,395,Research Scientist,4,3310,No,5
49,No,Research & Development,Life Sciences,396,Research Director,1,18665,Yes,3
36,No,Research & Development,Technical Degree,397,Research Scientist,2,4485,No,8
31,No,Sales,Marketing,399,Sales Representative,2,2789,No,2
26,Yes,Sales,Marketing,401,Sales Executive,4,5828,Yes,8
37,No,Research & Development,Medical,403,Research Scientist,4,2326,Yes,4
42,No,Sales,Marketing,404,Sales Executive,2,13525,No,20
18,Yes,Research & Development,Life Sciences,405,Laboratory Technician,3,1420,No,0
35,No,Sales,Marketing,406,Sales Executive,2,8020,No,11
36,No,Research & Development,Life Sciences,407,Laboratory Technician,4,3688,No,1
51,No,Research & Development,Medical,408,Manufacturing Director,2,5482,No,4
41,No,Sales,Life Sciences,410,Manager,2,16015,No,22
18,No,Sales,Medical,411,Sales Representative,3,1200,No,0
28,No,Research & Development,Medical,412,Healthcare Representative,1,5661,No,8
31,No,Sales,Technical Degree,416,Sales Executive,4,6929,No,8
39,No,Research & Development,Medical,417,Healthcare Representative,4,9613,No,18
36,No,Research & Development,Life Sciences,419,Laboratory Technician,2,5674,No,9
32,No,Sales,Life Sciences,420,Sales Executive,3,5484,No,13
38,No,Research & Development,Life Sciences,421,Research Director,2,12061,No,10
58,No,Research & Development,Life Sciences,422,Healthcare Representative,3,5660,Yes,5
31,No,Research & Development,Technical Degree,423,Research Scientist,4,4821,Yes,5
31,No,Human Resources,Human Resources,424,Human Resources,1,6410,No,2
45,No,Research & Development,Life Sciences,425,Laboratory Technician,1,5210,No,24
31,No,Research & Development,Life Sciences,426,Research Scientist,4,2695,Yes,2
33,No,Research & Development,Life Sciences,428,Manager,2,11878,No,10
39,No,Research & Development,Medical,429,Manager,1,17068,Yes,21
43,No,Research & Development,Life Sciences,430,Laboratory Technician,4,2455,No,8
49,No,Research & Development,Technical Degree,431,Healthcare Representative,3,13964,Yes,7
52,Yes,Research & Development,Medical,433,Research Scientist,2,4941,No,8
27,No,Research & Development,Life Sciences,434,Research Scientist,2,2478,Yes,4
32,No,Sales,Technical Degree,436,Sales Executive,2,5228,Yes,13
27,No,Sales,Life Sciences,437,Sales Executive,3,4478,Yes,5
31,No,Sales,Marketing,438,Sales Executive,4,7547,No,7
32,No,Research & Development,Medical,439,Research Scientist,4,5055,No,7
28,Yes,Research & Development,Medical,440,Research Scientist,4,3464,Yes,3
30,No,Research & Development,Medical,441,Research Scientist,4,5775,No,10
31,No,Research & Development,Life Sciences,442,Manufacturing Director,3,8943,No,10
39,No,Research & Development,Medical,444,Manager,4,19272,No,21
39,Yes,Sales,Medical,445,Sales Executive,3,5238,Yes,1
33,No,Sales,Marketing,446,Sales Executive,4,4682,No,7
47,No,Research & Development,Life Sciences,447,Research Director,3,18300,No,3
43,No,Research & Development,Life Sciences,448,Laboratory Technician,3,5257,No,9
27,No,Sales,Marketing,449,Sales Executive,2,6349,Yes,5
54,No,Research & Development,Life Sciences,450,Research Scientist,3,4869,No,4
43,No,Research & Development,Life Sciences,451,Healthcare Representative,1,9985,No,1
45,No,Research & Development,Other,452,Research Scientist,4,3697,No,10
40,No,Sales,Medical,453,Sales Executive,4,7457,Yes,4
29,Yes,Research & Development,Other,454,Laboratory Technician,1,2119,Yes,7
29,No,Research & Development,Other,455,Laboratory Technician,4,3983,No,3
30,No,Sales,Marketing,456,Sales Executive,3,6118,No,10
27,No,Sales,Marketing,458,Sales Executive,2,6214,No,8
37,No,Research & Development,Medical,460,Manufacturing Director,4,6347,No,6
38,No,Research & Development,Life Sciences,461,Research Director,4,11510,Yes,11
31,No,Research & Development,Medical,462,Manufacturing Director,4,7143,Yes,11
29,No,Sales,Marketing,463,Sales Executive,2,8268,Yes,7
35,No,Research & Development,Technical Degree,464,Manufacturing Director,2,8095,No,16
23,No,Research & Development,Life Sciences,465,Research Scientist,4,2904,No,4
41,No,Research & Development,Medical,466,Manufacturing Director,2,6032,Yes,5
47,No,Sales,Medical,467,Sales Representative,3,2976,No,0
42,No,Research & Development,Life Sciences,468,Research Director,4,15992,No,1
29,No,Sales,Life Sciences,469,Sales Executive,3,4649,No,4
42,No,Human Resources,Technical Degree,470,Human Resources,3,2696,Yes,3
32,No,Research & Development,Medical,471,Laboratory Technician,2,2370,No,8
48,No,Sales,Medical,473,Manager,3,12504,No,0
37,No,Research & Development,Medical,474,Research Scientist,1,5974,Yes,7
30,No,Sales,Technical Degree,475,Sales Executive,3,4736,Yes,2
26,No,Sales,Life Sciences,476,Sales Executive,3,5296,No,8
42,No,Research & Development,Other,477,Healthcare Representative,4,6781,No,1
21,Yes,Sales,Technical Degree,478,Sales Representative,2,2174,Yes,3
36,No,Sales,Medical,479,Sales Executive,4,6653,No,1
36,No,Sales,Medical,481,Sales Executive,4,9699,No,13
57,No,Research & Development,Medical,482,Healthcare Representative,3,6755,No,3
40,No,Research & Development,Life Sciences,483,Laboratory Technician,3,2213,Yes,7
21,No,Sales,Medical,484,Sales Representative,4,2610,No,3
33,Yes,Sales,Marketing,485,Sales Representative,3,2851,Yes,1
37,No,Research & Development,Medical,486,Laboratory Technician,1,3452,No,5
46,No,Research & Development,Medical,487,Manufacturing Director,3,5258,No,1
41,Yes,Sales,Marketing,488,Sales Executive,2,9355,No,8
50,No,Research & Development,Technical Degree,491,Healthcare Representative,4,10496,No,4
40,Yes,Sales,Marketing,492,Sales Executive,3,6380,Yes,6
31,No,Research & Development,Life Sciences,493,Research Scientist,2,2657,Yes,2
21,Yes,Sales,Life Sciences,494,Sales Representative,2,2716,No,1
29,No,Research & Development,Life Sciences,495,Research Scientist,4,2201,No,3
35,No,Research & Development,Life Sciences,496,Healthcare Representative,2,6540,No,1
27,No,Research & Development,Medical,497,Laboratory Technician,2,3816,No,5
28,No,Sales,Life Sciences,498,Sales Executive,4,5253,No,7
49,No,Research & Development,Other,499,Healthcare Representative,3,10965,No,5
51,No,Sales,Life Sciences,500,Sales Executive,4,4936,No,7
36,No,Research & Development,Life Sciences,501,Research Scientist,3,2543,No,2
34,Yes,Sales,Marketing,502,Sales Executive,4,5304,Yes,5
55,No,Research & Development,Life Sciences,505,Manager,4,16659,Yes,5
24,No,Sales,Marketing,507,Sales Executive,3,4260,Yes,5
30,No,Sales,Technical Degree,508,Sales Representative,2,2476,No,1
26,Yes,Research & Development,Technical Degree,510,Research Scientist,1,3102,No,6
22,No,Research & Development,Medical,511,Research Scientist,2,2244,No,2
36,No,Sales,Medical,513,Sales Executive,3,7596,No,10
30,Yes,Research & Development,Technical Degree,514,Research Scientist,4,2285,Yes,1
37,No,Research & Development,Life Sciences,515,Laboratory Technician,1,3034,No,18
40,No,Sales,Marketing,516,Sales Executive,2,5715,No,5
42,No,Research & Development,Life Sciences,517,Laboratory Technician,1,2576,No,5
37,No,Research & Development,Life Sciences,518,Manufacturing Director,2,4197,Yes,1
43,No,Research & Development,Life Sciences,520,Research Director,2,14336,No,25
40,No,Research & Development,Medical,521,Laboratory Technician,3,3448,No,1
54,No,Research & Development,Medical,522,Research Director,1,19406,No,4
34,No,Sales,Marketing,523,Sales Executive,3,6538,No,3
31,No,Research & Development,Medical,524,Manufacturing Director,1,4306,No,13
43,No,Research & Development,Medical,525,Laboratory Technician,4,2258,No,3
43,No,Research & Development,Other,526,Healthcare Representative,3,4522,Yes,5
25,No,Sales,Life Sciences,527,Sales Executive,4,4487,Yes,5
37,No,Research & Development,Medical,529,Research Scientist,3,4449,Yes,13
31,No,Research & Development,Life Sciences,530,Laboratory Technician,1,2218,No,4
39,No,Research & Development,Life Sciences,531,Manager,3,19197,Yes,21
56,No,Sales,Life Sciences,532,Sales Executive,1,13212,No,7
30,No,Sales,Technical Degree,533,Sales Executive,3,6577,No,5
41,No,Sales,Marketing,534,Sales Executive,1,8392,No,10
28,No,Research & Development,Medical,536,Laboratory Technician,1,4558,No,10
